Entity,Code,Year,Food Supply - Crops Primary Equivalent - Bananas - 2615 - Food supply quantity (kg/capita/yr) - 645 - kg,Food Supply - Crops Primary Equivalent - Dates - 2619 - Food supply quantity (kg/capita/yr) - 645 - kg,"Food Supply - Crops Primary Equivalent - Citrus, Other - 2614 - Food supply quantity (kg/capita/yr) - 645 - kg","Food Supply - Crops Primary Equivalent - Oranges, Mandarines - 2611 - Food supply quantity (kg/capita/yr) - 645 - kg",Food Supply - Crops Primary Equivalent - Apples and products - 2617 - Food supply quantity (kg/capita/yr) - 645 - kg,"Food Supply - Crops Primary Equivalent - Lemons, Limes and products - 2612 - Food supply quantity (kg/capita/yr) - 645 - kg",Food Supply - Crops Primary Equivalent - Grapes and products (excl wine) - 2620 - Food supply quantity (kg/capita/yr) - 645 - kg,Food Supply - Crops Primary Equivalent - Grapefruit and products - 2613 - Food supply quantity (kg/capita/yr) - 645 - kg,Food Supply - Crops Primary Equivalent - Pineapples and products - 2618 - Food supply quantity (kg/capita/yr) - 645 - kg,Food Supply - Crops Primary Equivalent - Plantains - 2616 - Food supply quantity (kg/capita/yr) - 645 - kg,"Food Supply - Crops Primary Equivalent - Fruits, Other - 2625 - Food supply quantity (kg/capita/yr) - 645 - kg"
United States,USA,2000,11.98,0.06,0.02,45.04,20.49,8.44,10.08,3.83,6.42,0.75,18.26
United States,USA,2001,11.26,0.06,0.02,39.61,21.69,6.02,8.16,3.13,6.33,0.75,15.59
United States,USA,2002,11.33,0.07,0.01,38.92,17.7,6.15,9.07,2.79,6.02,0.81,17.49
United States,USA,2003,10.87,0.06,0.12,38.54,21.79,6.74,7.35,2.51,6.86,0.87,18.66
United States,USA,2004,10.64,0.05,0.21,39.93,24.3,6.24,6.17,2.71,5.95,0.91,19.06
United States,USA,2005,10.45,0.05,0.12,30.89,23.67,6.97,9.07,1.9,5.73,0.88,20.11
United States,USA,2006,12.08,0.06,0.09,28.87,23.39,6.33,7.17,1.68,6.47,0.82,21.55
United States,USA,2007,11,0.06,0.16,27.39,25.57,5.85,8.85,2.19,5.98,0.84,21.99
United States,USA,2008,10.6,0.07,0.2,32.44,25.91,6.43,8.34,2.48,6.79,0.89,20.98
United States,USA,2009,9.25,0.1,0.14,30.14,24.07,6.75,6.88,2.22,6.92,0.87,21.9
United States,USA,2010,10.89,0.1,0.09,27.98,24.78,6.29,7.49,1.77,6.19,0.85,16.74
United States,USA,2011,10.78,0.14,0.06,28.28,15.93,7.43,7.93,1.78,6.33,0.86,18.2
United States,USA,2012,11.35,0.14,0.11,26.9,16.21,10.27,6.95,2.18,6.02,0.87,22.38
United States,USA,2013,11.73,0.14,0.16,23.93,18.45,9.39,8.78,1.71,6.35,0.91,22.98
